时间点,房间ID,耗时,倍数,茶水费,基础银,基础分,房间下限,对局类型,玩家1,状态,类型,角色,输赢,初始银两,剩余银两,积分输赢,初始积分,剩余积分,玩家2,状态,类型,角色,输赢,初始银两,剩余银两,积分输赢,初始积分,剩余积分,玩家3,状态,类型,角色,输赢,初始银两,剩余银两,积分输赢,初始积分,剩余积分,是否是不洗牌做牌,正式打牌时间,玩家1机器人版本,玩家2机器人版本,玩家3机器人版本,游戏开始时间
2025-05-26 14:46:24,188,131,192,24000,1500,1,70000,0,1110086,65,机器人,地主,-62880,70880,0,0,1,1,1109886,65,机器人,农民,31440,364080,387520,0,0,0,1109994,65,机器人,农民,31440,74330,97770,0,0,0,是,121,192.168.102.45:2412,192.168.102.45:2409,192.168.102.45:2412,1748241853
2025-05-26 14:46:56,188,87,96,24000,1500,1,70000,0,1109671,65,机器人,地主,114130,122130,228260,0,1,1,1109875,65,机器人,农民,-57065,244610,179545,0,0,0,1109688,65,机器人,农民,-57065,74650,9585,0,0,0,是,79,192.168.102.45:2412,192.168.102.45:2412,192.168.102.45:2409,1748241927
2025-05-26 14:47:29,188,97,768,24000,1500,1,70000,0,1110141,65,机器人,地主,170825,197120,359945,0,0,0,1109997,65,机器人,农民,-94560,479379,376819,0,0,0,1109768,65,机器人,农民,-76265,84265,0,0,0,0,是,74,192.168.102.45:2409,192.168.102.45:2412,192.168.102.45:2409,1748241952
2025-05-26 14:47:31,188,52,24,24000,1500,1,70000,0,1109957,65,机器人,地主,156690,195300,343990,0,1,1,1109915,65,机器人,农民,-66920,74920,0,0,0,0,1109994,65,机器人,农民,-89770,97770,0,0,0,0,是,42,192.168.102.45:2412,192.168.102.45:2409,192.168.102.45:2409,1748241998
2025-05-26 14:47:47,188,74,384,24000,1500,1,70000,0,1109949,65,机器人,地主,-150625,365765,207140,0,0,0,1109693,65,机器人,农民,86715,94715,173430,0,0,0,1109892,65,机器人,农民,63910,71910,127820,0,1,1,是,61,192.168.102.45:2412,192.168.102.45:2409,192.168.102.45:2409,1748241989
2025-05-26 14:47:47,188,118,96,24000,1500,1,70000,0,1109729,65,机器人,地主,-92220,100220,0,0,1,1,1109716,65,机器人,农民,46110,70794,108904,0,0,0,1109816,65,机器人,农民,46110,74600,112710,0,0,0,是,108,192.168.102.45:2409,192.168.102.45:2412,192.168.102.45:2409,1748241948
2025-05-26 14:48:11,188,62,1536,24000,1500,1,70000,0,1109671,65,机器人,地主,-129070,228260,91190,0,1,1,1110055,65,机器人,农民,66920,74920,133840,0,1,1,1110036,65,机器人,农民,62150,70150,124300,0,0,0,是,53,192.168.102.45:2409,192.168.102.45:2412,192.168.102.45:2409,1748242028
2025-05-26 14:48:52,188,143,96,24000,1500,1,70000,0,1109785,65,机器人,地主,-62170,70170,0,0,0,0,1109813,65,机器人,农民,31085,197890,220975,0,0,0,1110120,65,机器人,农民,31085,72680,95765,0,0,0,是,128,192.168.102.45:2409,192.168.102.45:2412,192.168.102.45:2412,1748241988
2025-05-26 14:48:53,188,67,12,24000,1500,1,70000,0,1109861,65,机器人,地主,137410,159609,289019,0,1,1,1109865,65,机器人,农民,-65410,73410,0,0,0,0,1109875,65,机器人,农民,-72000,179545,99545,0,0,0,是,35,192.168.102.45:2412,192.168.102.45:2412,192.168.102.45:2409,1748242064
2025-05-26 14:48:54,188,59,48,24000,1500,1,70000,0,1109949,65,机器人,地主,199140,207140,398280,0,0,0,1110141,65,机器人,农民,-99570,359945,252375,0,0,0,1109816,65,机器人,农民,-99570,112710,5140,0,0,0,是,47,192.168.102.45:2409,192.168.102.45:2409,192.168.102.45:2412,1748242075
